X Y Z Formation
1000 681.578196347032 336.349240316713 ocean_floor
1000 1358.7685502283105 562.4823453884014 ocean_floor
1000 2037.4215182648402 1142.0671945217205 ocean_floor
1000 2578.5887557077626 1041.3524502460946 ocean_floor
1000 3682.8624429223746 788.6154504600898 ocean_floor
1000 5793.414668949772 1392.9039161138455 ocean_floor
1000 6510.0956050228315 1142.0671945217205 ocean_floor
1000 7052.725456621005 1191.4744275625935 ocean_floor
1000 7807.434360730594 1444.2114273485984 ocean_floor
1000 9182.291666666666 1594.3334046650973 ocean_floor
1000 10460.616438356165 1771.0592766959126 ocean_floor
1000 11177.297374429223 1847.0704044511021 ocean_floor
1000 11757.955194063927 1972.4887652471646 ocean_floor
1000 11778.431792237443 2073.2035095227907 ocean_floor
1000 12474.636130136987 1771.0592766959126 ocean_floor
1000 13384.382134703197 1719.7517654611597 ocean_floor
1000 14178.581621004567 1847.0704044511021 ocean_floor
1000 14779.716038812785 1645.6409158998501 ocean_floor
1000 15282.855308219177 1896.4776374919752 ocean_floor
1000 15553.43892694064 2073.2035095227907 ocean_floor
1000 16309.61044520548 2021.8959982880376 ocean_floor
1000 16793.73573059361 2375.3477423496684 ocean_floor
1000 17064.31934931507 2324.0402311149155 ocean_floor
1000 17122.823915525114 2525.4697196661673 ocean_floor
1000 17393.407534246577 2476.0624866252942 ocean_floor
1000 17644.977168949772 2802.9103359726087 ocean_floor
1000 17955.051369863013 2751.602824737856 ocean_floor
1000 18652.718321917808 2776.306441258292 ocean_floor
1000 19291.880707762557 2776.306441258292 ocean_floor
1000 20453.196347031964 1945.8848705328483 ocean_floor
